name,email,phone,city
Aman Sharma,aman@gmail.com,9876543210,Delhi
Priya Verma,priyaverma@gmail.com,9876543211,Mumbai
Simran Kaur,simran@gmail.com,9876543213,Punjab
Pooja Mehta,pooja@gmail.com,9876543214,Not Provided
Ankit Jain,ankit@gmail.com,9876543215,Jaipur
Vikas Yadav,vikas@gmail.com,9876543217,Lucknow
Karan Malhotra,karan@gmail.com,1234567890,Delhi
Suresh Kumar,suresh@gmail.com,9876543218,Delhi
Ritika Kapoor,ritika@gmail.com,9876543219,Mumbai
Amit Shah,amit@gmail.com,9876543220,Ahmedabad
Deepak Singh,deepak@gmail.com,9876543222,Noida
Sunita Sharma,sunita@gmail.com,9876543223,Delhi
Rajesh Khanna,rajesh@gmail.com,9999999999,Mumbai
Alok Nath,alok@gmail.com,8888888888,Not Provided
Pallavi Joshi,pallavi@gmail.com,7777777777,Pune
Nitin Agarwal,nitin@gmail.com,6666666666,Jaipur
Manoj Kumar,manoj@gmail.com,4444444444,Delhi
Rekha Devi,rekha@gmail.com,3333333333,Bihar
Arjun Kapoor,arjun@gmail.com,2222222222,Mumbai
Varun Dhawan,varun@gmail.com,1111111111,Delhi
Kajol Devgan,kajol@gmail.com,9876543224,Mumbai
Ajay Devgan,ajay@gmail.com,9876543225,Mumbai
Hrithik Roshan,hrithik@gmail.com,9876543226,Mumbai
Alia Bhatt,alia@gmail.com,9876543228,Mumbai
Shah Rukh,shahrukh@gmail.com,9876543229,Delhi
Salman Khan,salman@gmail.com,9876543230,Mumbai
Aamir Khan,aamir@gmail.com,9876543231,Mumbai
Tiger Shroff,tiger@gmail.com,9876543232,Mumbai
Kriti Sanon,kriti@gmail.com,9876543233,Delhi
Sidharth Malhotra,sid@gmail.com,9876543235,Delhi
Parineeti Chopra,pari@gmail.com,9876543236,Delhi
Anushka Sharma,anushka@gmail.com,9876543237,Mumbai
Virat Kohli,virat@gmail.com,9876543238,Delhi
Ms Dhoni,dhoni@gmail.com,9876543239,Ranchi
Rohit Sharma,rohit@gmail.com,9876543240,Mumbai
Hardik Pandya,hardik@gmail.com,9876543241,Baroda
Kl Rahul,rahul@gmail.com,9876543242,Bangalore
Ravindra Jadeja,jadeja@gmail.com,9876543244,Rajkot
