name,email,phone,city
Rahul Singh,rahul@gmail,9876543212,Delhi
Neha Gupta,nehagupta@gmail.com,98765,Noida
Aman Sharma,aman@gmail.com,9876543210,Delhi
Rohit Kumar,rohit@gmail.com,abcdefghij,Patna
Sneha Roy,sneha@gmail,9876543216,Kolkata
Meena Devi,meena@gmail.com,,Bihar
Ravi Verma,ravi@gmail,9876543221,Delhi
Kavita Singh,kavita@gmail,5555555555,Lucknow
Sanjay Dutt,sanjay@gmail.com,12345,Mumbai
Ranbir Kapoor,ranbir@gmail,9876543227,Mumbai
Kiara Advani,kiara@gmail,9876543234,Mumbai
Jasprit Bumrah,bumrah@gmail,9876543243,Ahmedabad
